"3";"32";"1";"1"
"4";"41";"2";"1"
"9";"32";"3";"1"
"12";"32";"5";"1"
"15";"32";"6";"1"
"16";"41";"7";"1"
"17";"7";"8";"1"
"18";"32";"9";"1"
"21";"8";"10";"1"
"22";"8";"11";"1"
"25";"32";"12";"1"
"28";"32";"13";"1"
"29";"32";"14";"1"
"33";"7";"15";"1"
"35";"32";"21";"1"
"38";"32";"31";"1"
"43";"32";"33";"1"
"46";"32";"24";"1"
"47";"32";"17";"1"
"50";"32";"18";"1"
"53";"32";"19";"1"
"55";"32";"19";"1"
"56";"32";"20";"1"
"59";"32";"22";"1"
"62";"32";"23";"1"
"65";"32";"25";"1"
"73";"32";"30";"1"
"76";"32";"31";"1"
"77";"46";"35";"1"
"80";"32";"29";"1"
"83";"32";"34";"1"
"84";"11";"37";"1"
"85";"12";"38";"1"
"88";"32";"39";"1"
"91";"42";"40";"1"
"94";"32";"41";"1"
"95";"32";"42";"1"
"100";"32";"43";"1"
"103";"32";"44";"1"
"106";"32";"45";"1"
"109";"32";"46";"1"
"113";"32";"26";"1"
"116";"32";"47";"1"
"119";"32";"48";"1"
"122";"32";"49";"1"
"125";"32";"50";"1"
"128";"32";"51";"1"
"131";"32";"52";"1"
"132";"13";"53";"1"
"147";"4";"60";"1"
"148";"31";"61";"1"
"149";"15";"62";"1"
"150";"46";"36";"1"
"151";"41";"65";"1"
"152";"18";"70";"1"
"153";"19";"67";"2"
"154";"4";"68";"1"
"158";"23";"71";"1"
"159";"24";"71";"2"
"160";"25";"72";"2"
"161";"26";"72";"1"
"162";"4";"73";"1"
"163";"4";"74";"1"
"164";"4";"75";"1"
"168";"27";"80";"1"
"169";"28";"76";"1"
"170";"28";"77";"1"
"171";"4";"101";"1"
"172";"29";"102";"1"
"173";"4";"79";"2"
"174";"30";"16";"1"
"175";"41";"4";"1"
"182";"41";"108";"1"
"187";"33";"111";"1"
"188";"4";"112";"1"
"189";"35";"113";"1"
"190";"37";"114";"1"
"191";"34";"115";"1"
"192";"36";"116";"1"
"193";"4";"117";"1"
"194";"4";"118";"1"
"195";"4";"119";"1"
"196";"4";"120";"1"
"197";"4";"121";"1"
"198";"41";"122";"1"
"199";"39";"124";"1"
"200";"38";"125";"1"
"201";"4";"126";"1"
"202";"41";"127";"1"
"203";"41";"128";"1"
"204";"41";"129";"1"
"205";"41";"130";"1"
"210";"41";"131";"1"
"211";"47";"132";"1"
"212";"41";"133";"1"
"213";"41";"134";"1"
"214";"41";"135";"1"
"215";"41";"136";"1"
"216";"32";"54";"1"
"217";"32";"28";"1"
"218";"32";"28";"1"
"219";"32";"55";"1"
"220";"32";"56";"1"
"221";"32";"57";"1"
"222";"32";"58";"1"
"223";"32";"59";"1"
"224";"32";"69";"1"
"225";"32";"27";"1"
"226";"32";"105";"1"
"227";"32";"106";"1"
"228";"32";"109";"1"
"229";"32";"110";"1"
"230";"43";"137";"1"
"231";"32";"138";"1"
"232";"44";"139";"1"
"233";"41";"140";"1"
"234";"46";"78";"1"
"235";"38";"141";"1"
"236";"49";"142";"1"
"237";"32";"143";"1"
"238";"32";"144";"1"
"240";"41";"147";"1"
"241";"30";"146";"1"
