Dates,Clics,Ctr,Impressions,Bounces,Cr,Transactions,Av.session duration,Revenue,Ctr products list,Cart/details rate,Purchase / details rate,refunds,Exits ,New sessions,Av product price,Clics product list,Num.of products added to cart,Session value,Products list Ctr,Rpc,Session inclueded searches,Page/session,Av.number of product sold per transaction,Num.of times product included in a cart during the purchase process,Sessions
20170916,"265(0,12 %)","1,29 %","20.490(0,13 %)","10,45 %","0,52 %","6(0,04 %)",0:02:19,"269,24 €(0,05 %)","2,02 %","8,71 %","0,91 %","0(0,00 %)","27,31 %","57,40 %","24,48 €","874(0,11 %)","105(0,09 %)","0,23 €","2,02 %","1,02 €","0,35 %","3,63",1,"43(0,05 %)","1.148(0,11 %)"
20170915,"460(0,22 %)","1,47 %","31.331(0,20 %)","10,10 %","0,85 %","13(0,09 %)",0:02:31,"350,31 €(0,07 %)","2,44 %","8,24 %","0,98 %","0(0,00 %)","26,22 %","55,77 %","21,61 €","1.317(0,17 %)","169(0,15 %)","0,23 €","2,44 %","0,76 €","0,26 %","3,77",1,"101(0,11 %)","1.524(0,15 %)"
20170914,"460(0,22 %)","1,45 %","31.687(0,20 %)","8,83 %","1,49 %","26(0,17 %)",0:02:25,"983,86 €(0,20 %)","2,78 %","12,25 %","2,34 %","0(0,00 %)","26,63 %","54,96 %","22,10 €","1.698(0,22 %)","240(0,22 %)","0,56 €","2,78 %","2,14 €","0,52 %","3,7",1,"244(0,26 %)","1.745(0,17 %)"
20170913,"425(0,20 %)","1,44 %","29.600(0,18 %)","7,95 %","1,49 %","34(0,22 %)",0:02:35,"1.249,04 €(0,25 %)","3,12 %","10,71 %","1,99 %","0(0,00 %)","26,10 %","63,13 %","24,66 €","2.445(0,32 %)","278(0,25 %)","0,55 €","3,12 %","2,94 €","0,48 %","3,83",1,"223(0,24 %)","2.289(0,22 %)"
20170912,"415(0,20 %)","1,47 %","28.264(0,18 %)","7,48 %","1,53 %","36(0,24 %)",0:02:40,"1.422,66 €(0,29 %)","2,91 %","12,95 %","2,21 %","0(0,00 %)","23,70 %","60,35 %","21,39 €","2.698(0,35 %)","358(0,32 %)","0,60 €","2,91 %","3,43 €","0,47 %","4,18","1,1","289(0,31 %)","2.353(0,23 %)"
20170911,"362(0,17 %)","1,49 %","24.311(0,15 %)","8,11 %","1,78 %","30(0,20 %)",0:02:43,"1.407,67 €(0,28 %)","2,48 %","11,17 %","3,13 %","0(0,00 %)","25,17 %","56,42 %","21,10 €","1.522(0,20 %)","227(0,20 %)","0,83 €","2,48 %","3,89 €","0,53 %","3,95","1,06","332(0,36 %)","1.689(0,16 %)"
20170910,"380(0,18 %)","1,67 %","22.768(0,14 %)","8,42 %","1,17 %","19(0,13 %)",0:02:38,"655,72 €(0,13 %)","2,15 %","13,53 %","1,69 %","0(0,00 %)","26,44 %","49,60 %","20,36 €","1.381(0,18 %)","259(0,23 %)","0,40 €","2,15 %","1,73 €","0,68 %","3,75",1,"208(0,22 %)","1.627(0,16 %)"
20170909,"190(0,09 %)","1,27 %","14.921(0,09 %)","9,96 %","0,41 %","4(0,03 %)",0:02:43,"113,26 €(0,02 %)","2,29 %","15,02 %","0,35 %","0(0,00 %)","26,06 %","54,67 %","28,32 €","859(0,11 %)","173(0,16 %)","0,12 €","2,29 %","0,60 €","0,21 %","3,81",1,"75(0,08 %)","964(0,09 %)"
20170908,"291(0,14 %)","1,33 %","21.936(0,14 %)","11,01 %","2,53 %","26(0,17 %)",0:02:52,"795,02 €(0,16 %)","2,58 %","12,82 %","4,13 %","0(0,00 %)","26,18 %","59,84 %","15,50 €","869(0,11 %)","156(0,14 %)","0,77 €","2,58 %","2,73 €","1,07 %","3,79","1,04","248(0,27 %)","1.026(0,10 %)"
20170907,"395(0,19 %)","1,63 %","24.245(0,15 %)","11,58 %","2,03 %","26(0,17 %)",0:02:36,"928,19 €(0,19 %)","2,45 %","15,17 %","2,91 %","0(0,00 %)","26,62 %","54,30 %","23,69 €","1.079(0,14 %)","208(0,19 %)","0,73 €","2,45 %","2,35 €","0,47 %","3,73",1,"334(0,36 %)","1.278(0,12 %)"
20170906,"490(0,23 %)","1,88 %","26.037(0,16 %)","9,98 %","1,11 %","15(0,10 %)",0:02:06,"558,51 €(0,11 %)","2,18 %","13,64 %","1,42 %","0(0,00 %)","30,80 %","62,53 %","29,59 €","878(0,11 %)","167(0,15 %)","0,41 €","2,18 %","1,14 €","0,30 %","3,22","1,12","167(0,18 %)","1.353(0,13 %)"
20170905,"500(0,24 %)","2,01 %","24.834(0,15 %)","10,44 %","2,03 %","30(0,20 %)",0:02:27,"971,96 €(0,20 %)","2,29 %","13,90 %","3,00 %","0(0,00 %)","29,03 %","58,78 %","21,50 €","991(0,13 %)","203(0,18 %)","0,66 €","2,29 %","1,94 €","0,61 %","3,43","1,05","169(0,18 %)","1.475(0,14 %)"
20170904,"365(0,17 %)","1,73 %","21.071(0,13 %)","9,68 %","1,99 %","30(0,20 %)",0:02:48,"1.230,60 €(0,25 %)","2,38 %","10,92 %","2,34 %","0(0,00 %)","26,49 %","56,73 %","24,05 €","1.229(0,16 %)","214(0,19 %)","0,82 €","2,38 %","3,37 €","0,40 %","3,76","1,31","167(0,18 %)","1.509(0,14 %)"
20170903,"320(0,15 %)","1,53 %","20.896(0,13 %)","8,07 %","1,18 %","17(0,11 %)",0:02:24,"530,31 €(0,11 %)","2,26 %","8,60 %","1,38 %","0(0,00 %)","28,98 %","56,44 %","22,41 €","1.246(0,16 %)","135(0,12 %)","0,37 €","2,26 %","1,66 €","0,63 %","3,43","1,14","81(0,09 %)","1.437(0,14 %)"
20170902,"156(0,07 %)","1,16 %","13.398(0,08 %)","14,52 %","1,63 %","13(0,09 %)",0:02:05,"510,38 €(0,10 %)","2,03 %","13,70 %","3,26 %","0(0,00 %)","28,53 %","55,94 %","21,27 €","533(0,07 %)","103(0,09 %)","0,64 €","2,03 %","3,27 €","0,50 %","3,48",1,"105(0,11 %)","799(0,08 %)"
20170901,"390(0,18 %)","1,87 %","20.801(0,13 %)","10,52 %","1,47 %","17(0,11 %)",0:02:16,"622,61 €(0,13 %)","2,18 %","14,69 %","2,19 %","0(0,00 %)","30,82 %","60,52 %","19,32 €","737(0,10 %)","186(0,17 %)","0,54 €","2,18 %","1,60 €","0,52 %","3,24","1,33","173(0,19 %)","1.160(0,11 %)"
20170831,"329(0,15 %)","1,73 %","19.062(0,12 %)","13,18 %","1,60 %","19(0,13 %)",0:02:26,"551,36 €(0,11 %)","2,44 %","12,49 %","2,00 %","0(0,00 %)","28,77 %","54,22 %","21,12 €","846(0,11 %)","161(0,14 %)","0,47 €","2,44 %","1,68 €","0,51 %","3,44","1,08","152(0,16 %)","1.184(0,11 %)"
20170830,"318(0,15 %)","1,74 %","18.325(0,11 %)","10,24 %","1,05 %","15(0,10 %)",0:02:39,"446,79 €(0,09 %)","2,49 %","11,07 %","1,43 %","0(0,00 %)","28,03 %","57,50 %","18,62 €","1.160(0,15 %)","225(0,20 %)","0,31 €","2,49 %","1,40 €","0,77 %","3,54","1,14","223(0,24 %)","1.426(0,14 %)"
20170829,"312(0,15 %)","1,84 %","16.963(0,11 %)","10,27 %","1,31 %","21(0,14 %)",0:02:33,"990,54 €(0,20 %)","2,32 %","14,55 %","2,49 %","0(0,00 %)","27,86 %","61,71 %","24,05 €","1.362(0,18 %)","300(0,27 %)","0,62 €","2,32 %","3,17 €","0,37 %","3,56",1,"139(0,15 %)","1.606(0,15 %)"
20170828,"294(0,14 %)","1,74 %","16.895(0,11 %)","9,74 %","2,17 %","28(0,19 %)",0:02:04,"955,54 €(0,19 %)","2,15 %","16,46 %","3,43 %","0(0,00 %)","30,13 %","59,94 %","23,31 €","886(0,11 %)","223(0,20 %)","0,74 €","2,15 %","3,25 €","0,46 %","3,3",1,"233(0,25 %)","1.293(0,12 %)"
20170827,"183(0,09 %)","1,21 %","15.065(0,09 %)","11,56 %","1,72 %","19(0,13 %)",0:02:24,"858,54 €(0,17 %)","2,01 %","8,37 %","3,11 %","0(0,00 %)","30,20 %","52,85 %","27,68 €","771(0,10 %)","98(0,09 %)","0,78 €","2,01 %","4,69 €","0,54 %","3,29",1,"124(0,13 %)","1.107(0,11 %)"
20170826,"120(0,06 %)","1,08 %","11.155(0,07 %)","11,68 %","0,93 %","6(0,04 %)",0:02:28,"279,91 €(0,06 %)","2,80 %","15,92 %","1,72 %","0(0,00 %)","28,88 %","55,76 %","16,47 €","522(0,07 %)","128(0,12 %)","0,44 €","2,80 %","2,33 €","1,40 %","3,45","1,31","105(0,11 %)","642(0,06 %)"
20170825,"181(0,09 %)","1,40 %","12.913(0,08 %)","13,19 %","1,24 %","9(0,06 %)",0:02:11,"337,65 €(0,07 %)","2,16 %","9,03 %","1,56 %","0(0,00 %)","27,91 %","61,13 %","25,97 €","535(0,07 %)","88(0,08 %)","0,46 €","2,16 %","1,87 €","0,55 %","3,57",1,"163(0,18 %)","728(0,07 %)"
20170824,"241(0,11 %)","1,78 %","13.521(0,08 %)","11,58 %","2,01 %","17(0,11 %)",0:02:06,"450,75 €(0,09 %)","2,14 %","10,89 %","2,20 %","0(0,00 %)","30,56 %","60,76 %","26,14 €","512(0,07 %)","96(0,09 %)","0,53 €","2,14 %","1,87 €","0,47 %","3,26",1,"86(0,09 %)","846(0,08 %)"
20170823,"217(0,10 %)","1,61 %","13.498(0,08 %)","11,68 %","1,73 %","15(0,10 %)",0:02:10,"582,51 €(0,12 %)","2,27 %","9,14 %","2,63 %","0(0,00 %)","30,45 %","58,38 %","30,43 €","561(0,07 %)","73(0,07 %)","0,67 €","2,27 %","2,68 €","1,04 %","3,28",1,"36(0,04 %)","865(0,08 %)"
20170822,"93(0,04 %)","1,94 %","4.801(0,03 %)","9,50 %","1,34 %","9(0,06 %)",0:02:28,"342,06 €(0,07 %)","2,23 %","8,86 %","1,62 %","0(0,00 %)","27,13 %","60,68 %","26,39 €","497(0,06 %)","64(0,06 %)","0,51 €","2,23 %","3,68 €","0,59 %","3,65","1,18","45(0,05 %)","674(0,06 %)"
20170821,"204(0,10 %)","1,40 %","14.537(0,09 %)","14,42 %","1,35 %","13(0,09 %)",0:02:15,"431,76 €(0,09 %)","2,19 %","9,47 %","1,61 %","0(0,00 %)","31,92 %","52,39 %","27,78 €","707(0,09 %)","96(0,09 %)","0,45 €","2,19 %","2,12 €","0,00 %","3,12",1,"66(0,07 %)","964(0,09 %)"
20170820,"134(0,06 %)","1,08 %","12.378(0,08 %)","7,70 %","0,90 %","9(0,06 %)",0:02:21,"503,29 €(0,10 %)","2,11 %","11,57 %","1,77 %","0(0,00 %)","29,21 %","45,20 %","26,49 €","809(0,10 %)","131(0,12 %)","0,50 €","2,11 %","3,76 €","0,00 %","3,42","1,12","64(0,07 %)","1.000(0,10 %)"
20170819,"80(0,04 %)","0,74 %","10.843(0,07 %)","21,15 %","2,07 %","9(0,06 %)",0:02:11,"297,08 €(0,06 %)","2,46 %","11,79 %","2,40 %","0(0,00 %)","30,69 %","57,01 %","27,01 €","289(0,04 %)","54(0,05 %)","0,68 €","2,46 %","3,71 €","0,46 %","3,24",1,"45(0,05 %)","435(0,04 %)"
20170818,"155(0,07 %)","1,15 %","13.528(0,08 %)","25,24 %","1,14 %","6(0,04 %)",0:01:55,"211,54 €(0,04 %)","2,47 %","11,03 %","1,65 %","0(0,00 %)","32,16 %","57,31 %","23,27 €","308(0,04 %)","62(0,06 %)","0,40 €","2,47 %","1,36 €","0,76 %","3,07",1,"60(0,06 %)","527(0,05 %)"
20170817,"155(0,07 %)","1,08 %","14.382(0,09 %)","15,52 %","1,06 %","6(0,04 %)",0:01:47,"210,96 €(0,04 %)","2,02 %","10,00 %","2,24 %","0(0,00 %)","31,04 %","59,26 %","14,38 €","338(0,04 %)","62(0,06 %)","0,37 €","2,02 %","1,36 €","0,35 %","3,21","1,36","45(0,05 %)","567(0,05 %)"
20170816,"213(0,10 %)","1,29 %","16.488(0,10 %)","14,33 %","0,60 %","4(0,03 %)",0:02:10,"64,02 €(0,01 %)","1,84 %","11,53 %","0,72 %","0(0,00 %)","30,31 %","54,93 %","14,93 €","351(0,05 %)","64(0,06 %)","0,10 €","1,84 %","0,30 €","0,30 %","3,28",1,"28(0,03 %)","670(0,06 %)"
20170815,"161(0,08 %)","0,95 %","17.034(0,11 %)","15,38 %","1,05 %","6(0,04 %)",0:01:55,"249,97 €(0,05 %)","1,84 %","8,51 %","2,18 %","0(0,00 %)","32,62 %","54,20 %","22,72 €","291(0,04 %)","47(0,04 %)","0,44 €","1,84 %","1,55 €","0,70 %","3,02",1,"45(0,05 %)","572(0,05 %)"
20170814,"201(0,09 %)","1,34 %","14.946(0,09 %)","18,13 %","0,91 %","6(0,04 %)",0:02:17,"155,77 €(0,03 %)","2,59 %","11,68 %","1,67 %","0(0,00 %)","29,62 %","57,25 %","14,16 €","486(0,06 %)","77(0,07 %)","0,24 €","2,59 %","0,77 €","0,60 %","3,35",1,"81(0,09 %)","662(0,06 %)"
20170813,"152(0,07 %)","1,06 %","14.399(0,09 %)","16,27 %","0,47 %","2(0,01 %)",0:02:11,"32,01 €(0,01 %)","2,27 %","14,60 %","0,44 %","0(0,00 %)","34,85 %","60,61 %","14,93 €","280(0,04 %)","66(0,06 %)","0,08 €","2,27 %","0,21 €","0,47 %","2,84",1,"30(0,03 %)","424(0,04 %)"
20170812,"107(0,05 %)","0,97 %","11.055(0,07 %)","15,58 %","1,04 %","4(0,03 %)",0:01:16,"138,47 €(0,03 %)","1,62 %","8,00 %","1,85 %","0(0,00 %)","34,77 %","47,79 %","22,72 €","158(0,02 %)","26(0,02 %)","0,36 €","1,62 %","1,29 €","0,00 %","2,83",1,"17(0,02 %)","385(0,04 %)"
20170811,"199(0,09 %)","1,39 %","14.294(0,09 %)","20,10 %","0,34 %","2(0,01 %)",0:01:42,"39,31 €(0,01 %)","2,36 %","8,75 %","0,37 %","0(0,00 %)","36,85 %","54,00 %","19,66 €","340(0,04 %)","51(0,05 %)","0,07 €","2,36 %","0,20 €","0,68 %","2,68",1,"49(0,05 %)","587(0,06 %)"
20170810,"202(0,10 %)","1,15 %","17.519(0,11 %)","16,76 %","1,85 %","13(0,09 %)",0:02:33,"292,75 €(0,06 %)","2,26 %","8,37 %","1,75 %","0(0,00 %)","30,55 %","54,40 %","22,19 €","484(0,06 %)","84(0,08 %)","0,42 €","2,26 %","1,45 €","1,28 %","3,23",1,"60(0,06 %)","704(0,07 %)"
20170809,"198(0,09 %)","1,12 %","17.720(0,11 %)","15,75 %","0,29 %","2(0,01 %)",0:02:00,"29,46 €(0,01 %)","3,14 %","15,51 %","0,31 %","0(0,00 %)","31,28 %","54,48 %","13,66 €","535(0,07 %)","111(0,10 %)","0,04 €","3,14 %","0,15 €","0,00 %","3,16",1,"49(0,05 %)","692(0,07 %)"
20170808,"231(0,11 %)","1,20 %","19.288(0,12 %)","12,16 %","0,43 %","4(0,03 %)",0:01:54,"108,98 €(0,02 %)","5,20 %","4,63 %","0,71 %","0(0,00 %)","38,32 %","56,51 %","27,25 €","1.101(0,14 %)","26(0,02 %)","0,12 €","5,20 %","0,47 €","0,22 %","2,57",1,"17(0,02 %)","929(0,09 %)"
20170807,"224(0,11 %)","1,15 %","19.475(0,12 %)","16,99 %","0,49 %","4(0,03 %)",0:02:23,"91,75 €(0,02 %)","7,50 %","13,05 %","0,84 %","0(0,00 %)","36,36 %","54,16 %","15,29 €","1.368(0,18 %)","69(0,06 %)","0,11 €","7,50 %","0,41 €","0,24 %","2,72","1,5","28(0,03 %)","818(0,08 %)"
20170806,"197(0,09 %)","0,91 %","21.764(0,14 %)","15,99 %","1,28 %","6(0,04 %)",0:02:25,"192,27 €(0,04 %)","4,31 %","7,31 %","1,94 %","0(0,00 %)","33,17 %","43,28 %","21,36 €","585(0,08 %)","34(0,03 %)","0,41 €","4,31 %","0,98 €","0,43 %","2,96",1,"28(0,03 %)","469(0,04 %)"
20170805,"173(0,08 %)","0,83 %","20.884(0,13 %)","16,08 %","1,01 %","4(0,03 %)",0:02:12,"108,88 €(0,02 %)","4,76 %","4,19 %","1,29 %","0(0,00 %)","35,48 %","46,23 %","18,15 €","420(0,05 %)","15(0,01 %)","0,27 €","4,76 %","0,63 €","1,01 %","2,78","1,5","11(0,01 %)","398(0,04 %)"
20170804,"238(0,11 %)","0,89 %","26.870(0,17 %)","24,03 %","1,37 %","6(0,04 %)",0:02:39,"269,14 €(0,05 %)","5,61 %","7,91 %","3,02 %","0(0,00 %)","34,05 %","46,45 %","20,70 €","649(0,08 %)","39(0,04 %)","0,62 €","5,61 %","1,13 €","0,92 %","2,88",1,"26(0,03 %)","437(0,04 %)"
20170803,"236(0,11 %)","0,75 %","31.355(0,20 %)","16,23 %","0,43 %","2(0,01 %)",0:02:16,"29,87 €(0,01 %)","5,65 %","13,74 %","0,64 %","0(0,00 %)","33,16 %","42,64 %","13,86 €","552(0,07 %)","43(0,04 %)","0,06 €","5,65 %","0,13 €","0,00 %","2,99",1,"24(0,03 %)","462(0,04 %)"
20170802,"233(0,11 %)","0,78 %","29.911(0,19 %)","12,25 %","0,99 %","9(0,06 %)",0:02:41,"350,39 €(0,07 %)","5,74 %","11,36 %","2,75 %","0(0,00 %)","34,84 %","47,24 %","23,36 €","1.317(0,17 %)","62(0,06 %)","0,39 €","5,74 %","1,50 €","0,00 %","2,85",1,"26(0,03 %)","906(0,09 %)"
20170801,"243(0,11 %)","0,70 %","34.481(0,22 %)","17,45 %","1,52 %","11(0,07 %)",0:02:17,"331,02 €(0,07 %)","3,19 %","6,67 %","3,15 %","0(0,00 %)","36,02 %","47,09 %","19,47 €","559(0,07 %)","43(0,04 %)","0,46 €","3,19 %","1,36 €","0,28 %","2,75",1,"60(0,06 %)","722(0,07 %)"
20170731,"186(0,09 %)","0,79 %","23.566(0,15 %)","13,90 %","0,77 %","6(0,04 %)",0:02:18,"191,97 €(0,04 %)","3,49 %","14,32 %","0,77 %","0(0,00 %)","28,18 %","44,01 %","29,85 €","814(0,11 %)","111(0,10 %)","0,24 €","3,49 %","1,03 €","1,40 %","3,53",1,"75(0,08 %)","784(0,07 %)"
20170730,"162(0,08 %)","0,77 %","21.018(0,13 %)","9,02 %","2,81 %","24(0,16 %)",0:02:43,"812,29 €(0,16 %)","2,68 %","26,63 %","5,55 %","0(0,00 %)","28,75 %","41,33 %","21,69 €","831(0,11 %)","223(0,20 %)","0,95 €","2,68 %","5,01 €","0,70 %","3,46",1,"225(0,24 %)","854(0,08 %)"
20170729,"149(0,07 %)","0,82 %","18.190(0,11 %)","23,00 %","1,00 %","4(0,03 %)",0:02:05,"102,56 €(0,02 %)","2,77 %","24,26 %","1,47 %","0(0,00 %)","33,62 %","42,25 %","25,10 €","240(0,03 %)","69(0,06 %)","0,26 €","2,77 %","0,69 €","1,00 %","2,94",1,"77(0,08 %)","400(0,04 %)"
20170728,"165(0,08 %)","0,83 %","19.906(0,12 %)","20,30 %","0,00 %","0(0,00 %)",0:02:32,"0,00 €(0,00 %)","2,02 %","23,94 %","0,00 %","0(0,00 %)","32,34 %","46,30 %","0,00 €","261(0,03 %)","86(0,08 %)","0,00 €","2,02 %","0,00 €","0,76 %","3,06",0,"54(0,06 %)","527(0,05 %)"
20170727,"171(0,08 %)","0,84 %","20.473(0,13 %)","12,58 %","0,00 %","0(0,00 %)",0:02:20,"0,00 €(0,00 %)","3,01 %","13,92 %","0,00 %","0(0,00 %)","31,73 %","49,22 %","0,00 €","471(0,06 %)","71(0,06 %)","0,00 €","3,01 %","0,00 €","0,62 %","3,13",0,"49(0,05 %)","644(0,06 %)"
20170726,"153(0,07 %)","0,97 %","15.778(0,10 %)","13,67 %","1,03 %","9(0,06 %)",0:01:59,"233,19 €(0,05 %)","3,88 %","11,34 %","1,89 %","0(0,00 %)","31,04 %","51,48 %","18,08 €","938(0,12 %)","94(0,08 %)","0,27 €","3,88 %","1,52 €","0,46 %","3,21",1,"73(0,08 %)","878(0,08 %)"
20170725,"278(0,13 %)","1,47 %","18.953(0,12 %)","11,42 %","0,49 %","9(0,06 %)",0:02:07,"179,43 €(0,04 %)","4,52 %","13,67 %","0,52 %","0(0,00 %)","28,95 %","51,48 %","19,46 €","2.353(0,30 %)","246(0,22 %)","0,10 €","4,52 %","0,65 €","0,49 %","3,41",1,"150(0,16 %)","1.822(0,17 %)"
20170724,"151(0,07 %)","2,50 %","6.042(0,04 %)","11,21 %","1,27 %","24(0,16 %)",0:03:02,"1.082,29 €(0,22 %)","3,55 %","23,41 %","2,45 %","0(0,00 %)","26,58 %","44,95 %","26,04 €","2.400(0,31 %)","460(0,41 %)","0,57 €","3,55 %","7,17 €","0,32 %","3,73","1,04","315(0,34 %)","1.891(0,18 %)"
20170723,"82(0,04 %)","4,09 %","2.005(0,01 %)","9,01 %","0,92 %","4(0,03 %)",0:02:05,"157,91 €(0,03 %)","4,34 %","11,35 %","2,90 %","0(0,00 %)","27,58 %","59,82 %","14,36 €","580(0,08 %)","43(0,04 %)","0,36 €","4,34 %","1,93 €","0,92 %","3,58",1,"19(0,02 %)","433(0,04 %)"
20170722,"37(0,02 %)","3,68 %","1.005(0,01 %)","10,97 %","1,29 %","4(0,03 %)",0:02:52,"84,19 €(0,02 %)","3,56 %","14,38 %","1,28 %","0(0,00 %)","25,81 %","63,55 %","19,98 €","338(0,04 %)","45(0,04 %)","0,27 €","3,56 %","2,28 €","1,29 %","3,87",1,"92(0,10 %)","310(0,03 %)"
20170721,"0(0,00 %)","0,00 %","70(0,00 %)","17,13 %","2,49 %","9(0,06 %)",0:02:52,"610,47 €(0,12 %)","3,09 %","11,48 %","6,63 %","0(0,00 %)","26,00 %","56,08 %","23,48 €","328(0,04 %)","45(0,04 %)","1,69 €","3,09 %","0,00 €","0,55 %","3,8",1,"54(0,06 %)","362(0,03 %)"
20170720,"114(0,05 %)","1,29 %","8.841(0,06 %)","15,62 %","1,34 %","9(0,06 %)",0:01:56,"185,44 €(0,04 %)","2,79 %","8,41 %","1,95 %","0(0,00 %)","32,06 %","56,40 %","14,10 €","477(0,06 %)","64(0,06 %)","0,28 €","2,79 %","1,63 €","0,30 %","3,12",1,"49(0,05 %)","672(0,06 %)"
20170719,"228(0,11 %)","1,43 %","15.922(0,10 %)","14,05 %","1,73 %","19(0,13 %)",0:02:26,"545,08 €(0,11 %)","3,12 %","10,30 %","2,49 %","0(0,00 %)","31,47 %","58,21 %","18,55 €","820(0,11 %)","118(0,11 %)","0,50 €","3,12 %","2,39 €","0,18 %","3,16",1,"122(0,13 %)","1.096(0,10 %)"
20170718,"163(0,08 %)","3,07 %","5.317(0,03 %)","15,87 %","2,40 %","21(0,14 %)",0:03:13,"473,76 €(0,10 %)","3,26 %","18,49 %","2,84 %","0(0,00 %)","28,28 %","48,17 %","18,30 €","767(0,10 %)","173(0,16 %)","0,54 €","3,26 %","2,91 €","0,46 %","3,5",1,"161(0,17 %)","876(0,08 %)"
20170717,"128(0,06 %)","1,66 %","7.688(0,05 %)","16,17 %","1,81 %","17(0,11 %)",0:02:48,"373,13 €(0,08 %)","3,96 %","16,57 %","3,24 %","0(0,00 %)","26,86 %","48,72 %","11,59 €","863(0,11 %)","150(0,13 %)","0,40 €","3,96 %","2,92 €","0,64 %","3,69","1,14","180(0,19 %)","940(0,09 %)"
20170716,"199(0,09 %)","1,71 %","11.639(0,07 %)","19,47 %","0,53 %","4(0,03 %)",0:02:27,"119,86 €(0,02 %)","3,25 %","10,78 %","0,89 %","0(0,00 %)","32,94 %","49,08 %","19,98 €","617(0,08 %)","77(0,07 %)","0,16 €","3,25 %","0,60 €","0,26 %","3,02",1,"56(0,06 %)","760(0,07 %)"
20170715,"106(0,05 %)","1,47 %","7.233(0,05 %)","22,40 %","1,07 %","4(0,03 %)",0:02:39,"148,89 €(0,03 %)","2,96 %","12,01 %","2,51 %","0(0,00 %)","30,09 %","45,60 %","16,54 €","302(0,04 %)","47(0,04 %)","0,40 €","2,96 %","1,40 €","0,53 %","3,26",1,"36(0,04 %)","375(0,04 %)"
20170714,"152(0,07 %)","2,25 %","6.762(0,04 %)","20,16 %","1,23 %","6(0,04 %)",0:02:54,"205,63 €(0,04 %)","3,07 %","9,11 %","2,10 %","0(0,00 %)","27,92 %","62,14 %","22,61 €","368(0,05 %)","41(0,04 %)","0,42 €","3,07 %","1,35 €","0,82 %","3,54",1,"32(0,03 %)","486(0,05 %)"
20170713,"243(0,11 %)","1,83 %","13.244(0,08 %)","16,94 %","1,33 %","13(0,09 %)",0:03:04,"430,38 €(0,09 %)","5,52 %","14,72 %","2,54 %","0(0,00 %)","29,44 %","45,28 %","17,93 €","1.250(0,16 %)","173(0,16 %)","0,44 €","5,52 %","1,77 €","1,33 %","3,36",1,"116(0,13 %)","974(0,09 %)"
20170712,"319(0,15 %)","1,83 %","17.414(0,11 %)","20,53 %","1,63 %","19(0,13 %)",0:02:21,"426,98 €(0,09 %)","5,15 %","14,59 %","2,81 %","0(0,00 %)","32,02 %","48,50 %","16,34 €","1.265(0,16 %)","143(0,13 %)","0,37 €","5,15 %","1,34 €","0,34 %","3,06",1,"161(0,17 %)","1.169(0,11 %)"
20170711,"410(0,19 %)","1,58 %","26.026(0,16 %)","15,52 %","1,39 %","19(0,13 %)",0:02:39,"430,64 €(0,09 %)","5,38 %","13,15 %","2,09 %","0(0,00 %)","29,24 %","50,44 %","15,30 €","1.809(0,23 %)","188(0,17 %)","0,32 €","5,38 %","1,05 €","0,44 %","3,38",1,"173(0,19 %)","1.366(0,13 %)"
20170710,"539(0,25 %)","1,24 %","43.420(0,27 %)","15,31 %","2,12 %","32(0,21 %)",0:02:49,"938,15 €(0,19 %)","5,08 %","16,82 %","3,17 %","0(0,00 %)","28,07 %","44,00 %","16,60 €","2.124(0,28 %)","313(0,28 %)","0,62 €","5,08 %","1,74 €","0,40 %","3,51","1,04","270(0,29 %)","1.509(0,14 %)"
20170709,"544(0,26 %)","1,20 %","45.160(0,28 %)","14,58 %","1,32 %","17(0,11 %)",0:02:28,"512,43 €(0,10 %)","4,15 %","12,77 %","2,07 %","0(0,00 %)","30,78 %","38,56 %","18,22 €","1.619(0,21 %)","184(0,17 %)","0,40 €","4,15 %","0,94 €","0,16 %","3,22",1,"148(0,16 %)","1.289(0,12 %)"
20170708,"294(0,14 %)","0,80 %","36.578(0,23 %)","18,81 %","0,94 %","6(0,04 %)",0:02:19,"132,92 €(0,03 %)","3,46 %","6,67 %","1,03 %","0(0,00 %)","33,75 %","38,56 %","21,80 €","537(0,07 %)","45(0,04 %)","0,21 €","3,46 %","0,45 €","0,31 %","2,89",1,"19(0,02 %)","638(0,06 %)"
20170707,"525(0,25 %)","1,08 %","48.747(0,30 %)","16,21 %","1,40 %","21(0,14 %)",0:02:47,"336,95 €(0,07 %)","5,71 %","13,11 %","1,50 %","0(0,00 %)","29,17 %","45,65 %","14,22 €","2.126(0,28 %)","218(0,20 %)","0,22 €","5,71 %","0,64 €","0,27 %","3,36",1,"126(0,14 %)","1.505(0,14 %)"
20170706,"674(0,32 %)","1,24 %","54.492(0,34 %)","13,49 %","2,40 %","45(0,30 %)",0:02:58,"913,68 €(0,18 %)","6,78 %","20,62 %","2,98 %","0(0,00 %)","27,26 %","50,32 %","15,16 €","3.218(0,42 %)","447(0,40 %)","0,49 €","6,78 %","1,36 €","0,11 %","3,63",1,"317(0,34 %)","1.876(0,18 %)"
20170705,"590(0,28 %)","1,11 %","53.283(0,33 %)","11,01 %","2,27 %","41(0,27 %)",0:02:41,"1.062,48 €(0,21 %)","6,32 %","19,01 %","4,28 %","0(0,00 %)","30,05 %","56,06 %","14,90 €","2.715(0,35 %)","323(0,29 %)","0,59 €","6,32 %","1,80 €","0,61 %","3,31",1,"278(0,30 %)","1.807(0,17 %)"
