Dates,Clics,Ctr,Impressions,Bounces,Cr,Transactions,Av.session duration,Revenue,Ctr products list,Cart/details rate,Purchase / details rate,refunds,Exits ,New sessions,Av product price,Clics product list,Num.of products added to cart,Session value,Products list Ctr,Rpc,Session inclueded searches,Page/session,Av.number of product sold per transaction,Num.of times product included in a cart during the purchase process,Sessions
20180225,"321(0,15 %)","0,63 %","51.304(0,32 %)","11,76 %","1,13 %","15(0,10 %)",0:02:47,"896,95 €(0,18 %)","2,43 %","17,53 %","1,98 %","0(0,00 %)","25,98 %","55,69 %","30,68 €","1.225(0,16 %)","276(0,25 %)","0,68 €","2,43 %","2,79 €","0,45 %","3,83","1,13","171(0,18 %)","1.327(0,13 %)"
20180224,"111(0,05 %)","0,57 %","19.333(0,12 %)","11,44 %","0,31 %","2(0,01 %)",0:01:54,"64,92 €(0,01 %)","2,32 %","9,48 %","0,65 %","0(0,00 %)","28,66 %","60,34 %","20,29 €","452(0,06 %)","58(0,05 %)","0,10 €","2,32 %","0,58 €","0,63 %","3,44",1,"54(0,06 %)","638(0,06 %)"
20180223,"202(0,10 %)","0,66 %","30.428(0,19 %)","14,54 %","0,34 %","4(0,03 %)",0:02:26,"147,89 €(0,03 %)","2,12 %","16,35 %","0,54 %","0(0,00 %)","25,29 %","58,15 %","28,85 €","921(0,12 %)","188(0,17 %)","0,12 €","2,12 %","0,73 €","0,92 %","3,92",1,"118(0,13 %)","1.190(0,11 %)"
20180222,"297(0,14 %)","0,71 %","41.997(0,26 %)","12,94 %","0,74 %","13(0,09 %)",0:02:39,"556,97 €(0,11 %)","3,08 %","16,11 %","1,26 %","0(0,00 %)","25,24 %","49,32 %","26,89 €","1.908(0,25 %)","308(0,28 %)","0,32 €","3,08 %","1,88 €","0,97 %","3,91",1,"223(0,24 %)","1.754(0,17 %)"
20180221,"488(0,23 %)","0,69 %","70.458(0,44 %)","16,68 %","0,82 %","9(0,06 %)",0:01:42,"246,21 €(0,05 %)","1,98 %","9,32 %","1,38 %","0(0,00 %)","35,33 %","57,84 %","18,49 €","512(0,07 %)","96(0,09 %)","0,22 €","1,98 %","0,50 €","1,00 %","2,8",1,"77(0,08 %)","1.103(0,11 %)"
20180220,"395(0,19 %)","0,85 %","46.600(0,29 %)","11,77 %","0,31 %","4(0,03 %)",0:02:05,"114,78 €(0,02 %)","2,54 %","6,23 %","0,30 %","0(0,00 %)","30,66 %","53,21 %","28,70 €","1.006(0,13 %)","84(0,08 %)","0,09 €","2,54 %","0,29 €","0,15 %","3,21",1,"81(0,09 %)","1.291(0,12 %)"
20180219,"336(0,16 %)","0,92 %","36.531(0,23 %)","14,27 %","1,32 %","17(0,11 %)",0:02:31,"787,95 €(0,16 %)","2,12 %","10,94 %","2,37 %","0(0,00 %)","27,85 %","51,98 %","23,22 €","985(0,13 %)","156(0,14 %)","0,61 €","2,12 %","2,35 €","0,47 %","3,55","1,06","188(0,20 %)","1.289(0,12 %)"
20180218,"197(0,09 %)","0,39 %","49.926(0,31 %)","14,26 %","0,37 %","4(0,03 %)",0:01:46,"139,62 €(0,03 %)","1,90 %","8,03 %","0,36 %","0(0,00 %)","31,86 %","56,58 %","34,91 €","762(0,10 %)","88(0,08 %)","0,13 €","1,90 %","0,71 €","0,55 %","3,13",1,"30(0,03 %)","1.094(0,10 %)"
20180217,"65(0,03 %)","0,42 %","15.522(0,10 %)","11,24 %","2,15 %","9(0,06 %)",0:02:14,"177,95 €(0,04 %)","2,13 %","11,06 %","2,70 %","0(0,00 %)","29,00 %","62,92 %","16,60 €","306(0,04 %)","45(0,04 %)","0,43 €","2,13 %","2,74 €","0,48 %","3,41",1,"34(0,04 %)","418(0,04 %)"
20180216,"145(0,07 %)","0,75 %","19.293(0,12 %)","14,29 %","0,71 %","4(0,03 %)",0:02:18,"70,31 €(0,01 %)","2,14 %","9,51 %","0,66 %","0(0,00 %)","26,83 %","64,55 %","17,58 €","439(0,06 %)","58(0,05 %)","0,12 €","2,14 %","0,48 €","0,35 %","3,73",1,"11(0,01 %)","567(0,05 %)"
20180215,"170(0,08 %)","0,66 %","25.617(0,16 %)","10,91 %","1,24 %","9(0,06 %)",0:02:07,"238,97 €(0,05 %)","2,10 %","8,93 %","1,93 %","0(0,00 %)","29,30 %","61,74 %","17,65 €","460(0,06 %)","60(0,05 %)","0,33 €","2,10 %","1,41 €","0,00 %","3,38",1,"62(0,07 %)","724(0,07 %)"
20180214,"166(0,08 %)","0,70 %","23.741(0,15 %)","14,53 %","1,33 %","11(0,07 %)",0:02:20,"209,57 €(0,04 %)","2,20 %","14,20 %","1,75 %","0(0,00 %)","29,45 %","57,75 %","14,38 €","597(0,08 %)","126(0,11 %)","0,25 €","2,20 %","1,26 €","0,24 %","3,35",1,"88(0,09 %)","826(0,08 %)"
20180213,"191(0,09 %)","0,62 %","30.580(0,19 %)","10,70 %","1,42 %","13(0,09 %)",0:02:41,"382,19 €(0,08 %)","2,54 %","15,14 %","1,36 %","0(0,00 %)","25,31 %","61,68 %","22,36 €","919(0,12 %)","173(0,16 %)","0,42 €","2,54 %","2,00 €","0,44 %","3,93","1,13","113(0,12 %)","916(0,09 %)"
20180212,"179(0,08 %)","0,95 %","18.789(0,12 %)","32,14 %","0,00 %","0(0,00 %)",0:00:48,"0,00 €(0,00 %)","5,13 %","0,00 %","0,00 %","0(0,00 %)","100,00 %","39,29 %","0,00 €","2(0,00 %)","0(0,00 %)","0,00 €","5,13 %","0,00 €","0,00 %","0,54",0,"0(0,00 %)","28(0,00 %)"
20180211,"198(0,09 %)","0,94 %","21.169(0,13 %)","42,31 %","0,00 %","0(0,00 %)",0:00:06,"0,00 €(0,00 %)","0,00 %","0,00 %","0,00 %","0(0,00 %)","100,00 %","15,38 %","0,00 €","0(0,00 %)","0(0,00 %)","0,00 €","0,00 %","0,00 €","0,00 %","0,58",0,"0(0,00 %)","26(0,00 %)"
20180210,"62(0,03 %)","0,19 %","33.014(0,21 %)","65,38 %","0,00 %","0(0,00 %)",0:00:01,"0,00 €(0,00 %)","0,00 %","0,00 %","0,00 %","0(0,00 %)","100,00 %","0,00 %","0,00 €","0(0,00 %)","0(0,00 %)","0,00 €","0,00 %","0,00 €","0,00 %",1,0,"2(0,00 %)","26(0,00 %)"
20180209,"148(0,07 %)","0,87 %","16.976(0,11 %)","22,92 %","0,60 %","2(0,01 %)",0:02:23,"144,03 €(0,03 %)","2,23 %","26,51 %","2,01 %","0(0,00 %)","37,00 %","45,83 %","23,65 €","212(0,03 %)","79(0,07 %)","0,43 €","2,23 %","0,97 €","0,60 %","2,7",1,"47(0,05 %)","336(0,03 %)"
